name,drafted,fantasypros_rk,fantasypros_rk_top10,nffc_adp,primetime_adp,fantasypros_tier,fantasypros_pos_rank,Note
audric estime,,316,436.0,247.14,,13,RB92,
samaje perine,,317,316.0,253.48,239.59,13,RB93,
ty chandler,,318,362.0,241.77,,13,RB94,
kimani vidal,,319,379.0,243.64,,13,RB95,
diontae johnson,,320,346.0,246.28,240.86,13,WR112,
josh reynolds,,321,283.0,253.1,237.86,13,WR113,
oronde gadsden,,322,317.0,250.91,,13,TE40,
jordan whittington,,323,281.0,248.92,,13,WR114,
shedeur sanders,,324,319.0,252.09,,13,QB36,
khalil herbert,,325,410.0,243.86,,13,RB96,
kavontae turpin,,326,225.0,248.5,235.79,13,WR115,
ben sinnott,,327,306.0,251.79,239.76,13,TE41,
noah brown,,328,314.0,243.58,,13,WR116,
will dissly,,329,325.0,251.49,239.55,13,TE42,
cam little,,330,348.0,,,13,K19,
tyler conklin,,331,307.0,254.98,240.52,13,TE43,
sincere mccormick,,332,378.0,,,13,RB97,
damien martinez,,333,352.0,243.29,,13,RB98,
brandon mcmanus,,334,304.0,,,13,K20,
raheim sanders,,335,427.0,242.62,,13,RB99,
aj barner,,336,296.0,250.01,,13,TE44,
a.j. dillon,,337,335.0,250.84,240.62,13,RB100,
jaylin lane,,338,273.0,244.96,237.86,13,WR117,
jason myers,,339,357.0,,,13,K21,
keandre lambert-smith,,340,282.0,249.05,228.76,13,WR118,
olamide zaccheaus,,341,309.0,251.3,238.76,13,WR119,
new york giants,,342,341.0,,,13,DST22,
michael mayer,,343,322.0,251.45,,13,TE45,
isaiah bond,,344,363.0,247.22,235.14,13,WR120,
jalen milroe,,345,321.0,252.14,,14,QB37,
gabe davis,,346,386.0,241.67,,14,WR121,
dawson knox,,347,332.0,247.95,,14,TE46,
demarcus robinson,,348,375.0,252.97,,14,WR122,
miami dolphins,,349,324.0,248.27,240.31,14,DST23,
miami dolphins,,349,324.0,248.92,240.31,14,DST23,
john metchie,,350,351.0,243.39,,14,WR123,
dillon gabriel,,351,339.0,248.79,,14,QB38,
jake moody,,352,361.0,,,14,K22,
tai felton,,353,365.0,,,14,WR124,
kalel mullings,,354,381.0,242.23,,14,RB101,
luke musgrave,,355,323.0,249.27,,14,TE47,
zack moss,,356,391.0,243.13,,14,RB102,
lequint allen,,357,434.0,241.73,,14,RB103,
emari demercado,,358,356.0,242.05,,14,RB104,
kirk cousins,,359,345.0,251.05,,14,QB39,
gunnar helm,,360,350.0,249.12,,14,TE48,
jimmy garoppolo,,361,310.0,253.32,,14,QB40,
jahan dotson,,362,333.0,250.5,239.79,14,WR125,
allen lazard,,363,371.0,247.42,,14,WR126,
washington commanders,,364,303.0,236.54,234.28,14,DST24,
washington commanders,,364,303.0,236.54,239.9,14,DST24,
washington commanders,,364,303.0,236.95,234.28,14,DST24,
washington commanders,,364,303.0,236.95,239.9,14,DST24,
zay jones,,365,302.0,243.93,,14,WR127,
chimere dike,,366,349.0,241.81,,14,WR128,
austin hooper,,367,330.0,251.51,,14,TE49,
curtis samuel,,368,385.0,241.77,,14,WR129,
marquez valdes-scantling,,369,358.0,246.75,,14,WR130,
jameis winston,,370,417.0,246.25,,14,QB41,
hunter renfrow,,371,331.0,247.66,240.59,14,WR131,
savion williams,,372,389.0,242.34,,14,WR132,
mack hollins,,373,387.0,246.34,,14,WR133,
gus edwards,,374,380.0,,,14,RB105,
jamari thrash,,375,313.0,242.45,,14,WR134,
cade stover,,376,329.0,,,14,TE50,
indianapolis colts,,377,402.0,246.25,,14,DST25,
indianapolis colts,,377,402.0,251.68,,14,DST25,
chad ryland,,378,397.0,,,14,K23,
justin tucker,,379,384.0,,,14,K24,
cam akers,,380,419.0,244.1,,14,RB106,
van jefferson,,381,425.0,247.28,,14,WR135,
greg dortch,,382,377.0,247.23,,14,WR136,
craig reynolds,,383,426.0,243.01,,14,RB107,
jeremy mcnichols,,384,337.0,244.39,,14,RB108,
kyle juszczyk,,385,373.0,241.47,,14,RB109,
tyrod taylor,,386,367.0,242.58,,14,QB42,
luke schoonmaker,,387,360.0,241.66,,14,TE51,
atlanta falcons,,388,400.0,244.97,239.1,14,DST26,
atlanta falcons,,388,400.0,246.31,239.1,14,DST26,
tank dell,,389,415.0,243.68,,14,WR137,
tommy tremble,,390,395.0,,,14,TE52,
cairo santos,,391,,,,14,K25,
trey sermon,,392,411.0,,,14,RB110,
efton chism,,393,382.0,244.74,239.69,14,WR138,
donovan edwards,,394,,241.66,,14,RB111,
dare ogunbowale,,395,393.0,,,14,RB112,
juju smith-schuster,,396,354.0,249.49,238.41,14,WR139,
julius chestnut,,397,343.0,244.21,239.62,14,RB113,
george holani,,398,359.0,242.45,,14,RB114,
hassan haskins,,399,376.0,241.66,,14,RB115,
josh oliver,,400,368.0,241.82,,14,TE53,
cincinnati bengals,,401,401.0,240.32,237.83,14,DST27,
cincinnati bengals,,401,401.0,240.32,238.38,14,DST27,
cincinnati bengals,,401,401.0,243.72,237.83,14,DST27,
cincinnati bengals,,401,401.0,243.72,238.38,14,DST27,
