"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Salary","Contract","Score","Ros","+/-"
"*041q6*","Nolan Jones","COL/CLE","1B,OF","742","RR","Active","27","5","2nd","38.72","-","-"
"*065ji*","Jakob Marsee","MIA","OF","749","LIL","Active","24","10","1st","38.2","-","-"
"*03vcw*","Jordan Hicks","SF/BOS","SP,RP","754","TWN","Inj Res","29","8","1st","37.74","-","-"
"*0597k*","Nick Gonzales","PIT","2B,SS","760","TSN","Active","26","10","2nd","37.2","-","-"
"*031cd*","Mitch Garver","SEA","C","765","LEX","Active","35","5","1st","36.72","-","-"
"*05lo5*","Freddy Fermin","KC/SD","C,2B","766","ROX","Active","30","5","1st","36.72","-","-"
"*05mdt*","Evan Carter","TEX","OF","778","WEQ","Active","23","10","2nd","36.03","-","-"
"*05js5*","Coby Mayo","BAL","1B,3B","779","MCM","Active","24","8","1st","35.95","-","-"
"*05wxw*","Gordon Graceffo","STL","SP,RP","781","ROX","Active","25","8","1st","35.91","-","-"
"*02i11*","Jorge Soler","LAA","OF,UT","782","TWN","Inj Res","33","3","2026","35.86","-","-"
"*04alq*","Pavin Smith","ARI","1B,OF","785","TSN","Active","29","1","1st","35.64","-","-"
"*05zh9*","Luke Keaschall","MIN","2B","786","YRK","Inj Res","23","10","1st","35.58","-","-"
"*04mn4*","Joey Bart","PIT","C","791","WEQ","Active","29","4","1st","34.98","-","-"
"*02brf*","Jorge Lopez","WSH","RP","794","MFR","Active","32","1","1st","34.87","-","-"
"*04ok3*","Michael Toglia","COL","1B","795","KEN","Minors","27","6","2nd","34.81","-","-"
"*04pvs*","Blaze Alexander","ARI","2B,3B,SS,OF","807","ROX","Active","26","5","1st","34.12","-","-"
"*03o43*","Luis Urias","ATH/MIL","2B,3B","813","WEQ","Active","28","6","1st","33.74","-","-"
"*05rks*","Luis Mey","CIN","RP","819","ROX","Minors","24","6","1st","33.55","-","-"
"*05gdz*","Roki Sasaki","LAD","SP","820","FLA","Inj Res","24","10","1st","33.43","-","-"
"*0515o*","Brandon Sproat","NYM","SP","828","TWN","Minors","25","10","1st","32.73","-","-"
"*06apx*","Trey Yesavage","TOR","SP","830","RUM","Active","22","14","1st","32.69","-","-"
"*026qc*","Joc Pederson","TEX","1B,OF","831","LEX","Active","33","6","2025","32.66","-","-"
"*05g4k*","Mick Abel","PHI/MIN","SP","839","SML","Minors","24","8","1st","32","-","-"
"*059bx*","Brady House","WSH","3B","840","KEN","Active","22","10","1st","31.99","-","-"
"*051aa*","Porter Hodge","CHC","RP","843","LRB","Minors","24","5","2nd","31.65","-","-"
"*05y0j*","Spencer Arrighetti","HOU","SP","848","NJ","Inj Res","26","13","1st","31.38","-","-"
"*04g7n*","Oswald Peraza","NYY/LAA","1B,2B,3B,SS","857","MFR","Active","25","8","3rd","30.53","-","-"
"*03d6v*","Michael Kopech","LAD","RP","861","LIL","Active","29","10","1st","30.4","-","-"
"*02yk4*","Tyler ONeill","BAL","OF","862","RUM","Active","30","5","1st","30.39","-","-"
"*06f0q*","Kristian Campbell","BOS","2B,SS,OF","864","TWN","Minors","23","10","1st","30.15","-","-"
"*03rmz*","Keibert Ruiz","WSH","C","867","ROX","Inj Res","27","15","4th","30.06","-","-"
"*02bve*","Blake Treinen","LAD","RP","869","RR","Active","37","1","1st","29.9","-","-"
"*05131*","Tyler Fitzgerald","SF","2B,SS,OF","877","WEQ","Active","28","10","2nd","29.56","-","-"
"*06in4*","Hyeseong Kim","LAD","2B,SS,OF","878","LIL","Active","27","14","1st","29.51","-","-"
"*0514z*","Sawyer Gipson-Long","DET","SP,RP","879","MCM","Minors","28","5","1st","29.32","-","-"
"*04z6k*","Luisangel Acuna","NYM","2B,3B,SS,OF","883","TSN","Minors","23","8","1st","29.06","-","-"
"*05t9l*","Max Muncy","ATH","2B,3B,SS","889","WEQ","Inj Res","23","6","1st","28.69","-","-"
"*05y7x*","Cole Young","SEA","2B,SS","892","TSN","Active","22","10","1st","28.54","-","-"
"*05ajg*","Ha-seong Kim","TB/ATL","2B,SS","919","LEX","Active","30","6","2026","27.42","-","-"
"*04pmt*","Jeremiah Jackson","BAL","2B,3B,SS,OF","925","NJ","Active","25","6","1st","27.09","-","-"
"*04pmn*","Parker Meadows","DET","OF","932","MCM","Active","26","7","2nd","26.64","-","-"
"*04psr*","David Fry","CLE","C,1B,OF","934","RR","Active","30","6","2nd","26.59","-","-"
"*05u9q*","Jac Caglianone","KC","1B,OF","936","LIL","Active","22","10","1st","26.38","-","-"
"*063e5*","Caden Dana","LAA","SP","939","LRB","Active","22","8","1st","26.17","-","-"
"*03bin*","Nestor Cortes Jr.","MIL/SD","SP","947","LRB","Inj Res","31","6","2026","26.01","-","-"
"*05gbe*","Robert Hassell","WSH","OF","948","KEN","Active","24","10","1st","25.96","-","-"
"*06cq8*","Christian Moore","LAA","2B","949","WEQ","Active","23","10","1st","25.92","-","-"
"*05xu2*","Ryan Ritter","COL","2B,SS","951","KEN","Active","25","10","1st","25.89","-","-"
"*04fyo*","Ronny Mauricio","NYM","2B,3B,SS","955","TSN","Active","24","10","1st","25.49","-","-"
"*051am*","Easton Lucas","TOR","SP,RP","965","RR","Minors","29","17","1st","24.74","-","-"
"*03pzo*","Leody Taveras","TEX/SEA","OF","970","FLA","Active","27","5","1st","24.55","-","-"
"*05xtz*","Dalton Rushing","LAD","C,1B,OF","978","LIL","Active","24","8","1st","24.15","-","-"
